STATE/UT,CRIME HEAD,Year,Crime Count
Daman & Diu,RAPE,2010,1
Delhi UT,RAPE,2010,507
Lakshadweep,RAPE,2010,0
Puducherry,RAPE,2010,3
All India,RAPE,2010,22172
Andhra Pradesh,RAPE,2011,1442
Arunachal Pradesh,RAPE,2011,42
Assam,RAPE,2011,1700
Bihar,RAPE,2011,934
Chhattisgarh,RAPE,2011,1053
Goa,RAPE,2011,29
Gujarat,RAPE,2011,439
Haryana,RAPE,2011,733
Himachal Pradesh,RAPE,2011,168
Jammu & Kashmir,RAPE,2011,277
Jharkhand,RAPE,2011,784
Karnataka,RAPE,2011,636
Kerala,RAPE,2011,1132
Madhya Pradesh,RAPE,2011,3406
Maharashtra,RAPE,2011,1701
Manipur,RAPE,2011,53
Meghalaya,RAPE,2011,130
Mizoram,RAPE,2011,77
Nagaland,RAPE,2011,23
Odisha,RAPE,2011,1112
Punjab,RAPE,2011,479
Rajasthan,RAPE,2011,1800
Sikkim,RAPE,2011,16
Tamil Nadu,RAPE,2011,677
Tripura,RAPE,2011,205
Uttar Pradesh,RAPE,2011,2042
Uttarakhand,RAPE,2011,129
West Bengal,RAPE,2011,2363
A&N Islands,RAPE,2011,13
Chandigarh,RAPE,2011,27
D&N Haveli,RAPE,2011,4
Daman & Diu,RAPE,2011,1
Delhi UT,RAPE,2011,572
Lakshadweep,RAPE,2011,0
Puducherry,RAPE,2011,7
All India,RAPE,2011,24206
Andhra Pradesh,RAPE,2012,1341
Arunachal Pradesh,RAPE,2012,46
Assam,RAPE,2012,1716
Bihar,RAPE,2012,927
Chhattisgarh,RAPE,2012,1034
Goa,RAPE,2012,55
Gujarat,RAPE,2012,473
Haryana,RAPE,2012,668
Himachal Pradesh,RAPE,2012,183
Jammu & Kashmir,RAPE,2012,303
Jharkhand,RAPE,2012,812
Karnataka,RAPE,2012,621
Kerala,RAPE,2012,1019
Madhya Pradesh,RAPE,2012,3425
Maharashtra,RAPE,2012,1839
Manipur,RAPE,2012,63
Meghalaya,RAPE,2012,164
Mizoram,RAPE,2012,103
Nagaland,RAPE,2012,21
Odisha,RAPE,2012,1458
Punjab,RAPE,2012,680
Rajasthan,RAPE,2012,2049
Sikkim,RAPE,2012,34
Tamil Nadu,RAPE,2012,737
Tripura,RAPE,2012,229
Uttar Pradesh,RAPE,2012,1963
Uttarakhand,RAPE,2012,148
West Bengal,RAPE,2012,2046
A&N Islands,RAPE,2012,12
Chandigarh,RAPE,2012,27
D&N Haveli,RAPE,2012,3
Daman & Diu,RAPE,2012,5
Delhi UT,RAPE,2012,706
Lakshadweep,RAPE,2012,0
Puducherry,RAPE,2012,13
All India,RAPE,2012,24923
